Run Time,msg,node,topics
324.3469398,HBW Robot is Set to Home,/hbw_node,"/diagnostics, /hbw_pub, /new_order, /rosout, /vgr_new_material, /what_is_empty, /what_is_occupied"
310.2583599,Status updated successfully,/status_update,"/provide_empty_loc, /provide_empty_loc_back, /rosout, /what_is_empty, /what_is_occupied"
310.24805,HBW Placed Material on the Shelf,/hbw_node,"/diagnostics, /hbw_pub, /new_order, /rosout, /vgr_new_material, /what_is_empty, /what_is_occupied"
290.3492999,VGR is Set to Home,/vgr_node,"/diagnostics, /new_order, /provide_empty_loc, /provide_empty_loc_back, /rosout, /sld_blue_pub, /sld_red_pub, /sld_white_pub, /vgr_drop_off, /vgr_new_material, /vgr_pub"
288.9145,HBW Picked up Material from the Belt,/hbw_node,"/diagnostics, /hbw_pub, /new_order, /rosout, /vgr_new_material, /what_is_empty, /what_is_occupied"
288.34058,Material is Ready for HBW Pick Up,/hbw_node,"/diagnostics, /hbw_pub, /new_order, /rosout, /vgr_new_material, /what_is_empty, /what_is_occupied"
286.3441498,HBW Material is Dropped by VGR,/hbw_node,"/diagnostics, /hbw_pub, /new_order, /rosout, /vgr_new_material, /what_is_empty, /what_is_occupied"
280.01876,VGR Dropped Material at HBW,/vgr_node,"/diagnostics, /new_order, /provide_empty_loc, /provide_empty_loc_back, /rosout, /sld_blue_pub, /sld_red_pub, /sld_white_pub, /vgr_drop_off, /vgr_new_material, /vgr_pub"
279.4886298,HBW Placed Box on the Belt,/hbw_node,"/diagnostics, /hbw_pub, /new_order, /rosout, /vgr_new_material, /what_is_empty, /what_is_occupied"
259.3096299,HBW Picked Empty Box from The Shelf,/hbw_node,"/diagnostics, /hbw_pub, /new_order, /rosout, /vgr_new_material, /what_is_empty, /what_is_occupied"
249.5417397,VGR is Moving to HBW,/vgr_node,"/diagnostics, /new_order, /provide_empty_loc, /provide_empty_loc_back, /rosout, /sld_blue_pub, /sld_red_pub, /sld_white_pub, /vgr_drop_off, /vgr_new_material, /vgr_pub"
240.3424098,Published Return Position,/status_update,"/provide_empty_loc, /provide_empty_loc_back, /rosout, /what_is_empty, /what_is_occupied"
240.33002,DPS Detected Red Object,/vgr_node,"/diagnostics, /new_order, /provide_empty_loc, /provide_empty_loc_back, /rosout, /sld_blue_pub, /sld_red_pub, /sld_white_pub, /vgr_drop_off, /vgr_new_material, /vgr_pub"
235.9972799,VGR is Moving to DPS Color Sensor,/vgr_node,"/diagnostics, /new_order, /provide_empty_loc, /provide_empty_loc_back, /rosout, /sld_blue_pub, /sld_red_pub, /sld_white_pub, /vgr_drop_off, /vgr_new_material, /vgr_pub"
224.8425899,VGR is Picking Up Material from in-Processing Unit,/vgr_node,"/diagnostics, /new_order, /provide_empty_loc, /provide_empty_loc_back, /rosout, /sld_blue_pub, /sld_red_pub, /sld_white_pub, /vgr_drop_off, /vgr_new_material, /vgr_pub"
205.9250898,calling cobot for red pick up,/lego_node,"/diagnostics, /lego_blue_pub, /lego_red_pub, /lego_white_pub, /rosout"
205.9356599,Red order is ready for pick up,/listener,"/lego_blue_pub, /lego_red_pub, /lego_white_pub, /rosout, /vgr_drop_off"
146.18524,Calling Cobot for picking,/vgr_node,"/diagnostics, /new_order, /provide_empty_loc, /provide_empty_loc_back, /rosout, /sld_blue_pub, /sld_red_pub, /sld_white_pub, /vgr_drop_off, /vgr_new_material, /vgr_pub"
146.1814499,Order is ready for pick up,/listener,"/lego_blue_pub, /lego_red_pub, /lego_white_pub, /rosout, /vgr_drop_off"
