Run Time ,msg,node,topics
343.45192,HBW Robot is Set to Home,/hbw_node,"/diagnostics, /hbw_pub, /new_order, /rosout, /vgr_new_material, /what_is_empty, /what_is_occupied"
325.55125,Status updated successfully,/status_update,"/provide_empty_loc, /provide_empty_loc_back, /rosout, /what_is_empty, /what_is_occupied"
325.53091,HBW Placed Material on the Shelf,/hbw_node,"/diagnostics, /hbw_pub, /new_order, /rosout, /vgr_new_material, /what_is_empty, /what_is_occupied"
301.7406099,VGR is Set to Home,/vgr_node,"/diagnostics, /new_order, /provide_empty_loc, /provide_empty_loc_back, /rosout, /sld_blue_pub, /sld_red_pub, /sld_white_pub, /vgr_drop_off, /vgr_new_material, /vgr_pub"
300.35604,HBW Picked up Material from the Belt,/hbw_node,"/diagnostics, /hbw_pub, /new_order, /rosout, /vgr_new_material, /what_is_empty, /what_is_occupied"
299.80513,Material is Ready for HBW Pick Up,/hbw_node,"/diagnostics, /hbw_pub, /new_order, /rosout, /vgr_new_material, /what_is_empty, /what_is_occupied"
297.8425601,HBW Material is Dropped by VGR,/hbw_node,"/diagnostics, /hbw_pub, /new_order, /rosout, /vgr_new_material, /what_is_empty, /what_is_occupied"
291.46029,VGR Dropped Material at HBW,/vgr_node,"/diagnostics, /new_order, /provide_empty_loc, /provide_empty_loc_back, /rosout, /sld_blue_pub, /sld_red_pub, /sld_white_pub, /vgr_drop_off, /vgr_new_material, /vgr_pub"
290.8021898,HBW Placed Box on the Belt,/hbw_node,"/diagnostics, /hbw_pub, /new_order, /rosout, /vgr_new_material, /what_is_empty, /what_is_occupied"
266.7179999,HBW Picked Empty Box from The Shelf,/hbw_node,"/diagnostics, /hbw_pub, /new_order, /rosout, /vgr_new_material, /what_is_empty, /what_is_occupied"
252.8274601,VGR is Moving to HBW,/vgr_node,"/diagnostics, /new_order, /provide_empty_loc, /provide_empty_loc_back, /rosout, /sld_blue_pub, /sld_red_pub, /sld_white_pub, /vgr_drop_off, /vgr_new_material, /vgr_pub"
243.7161,Published Return Position,/status_update,"/provide_empty_loc, /provide_empty_loc_back, /rosout, /what_is_empty, /what_is_occupied"
243.5962799,DPS Detected White Object,/vgr_node,"/diagnostics, /new_order, /provide_empty_loc, /provide_empty_loc_back, /rosout, /sld_blue_pub, /sld_red_pub, /sld_white_pub, /vgr_drop_off, /vgr_new_material, /vgr_pub"
239.0957599,VGR is Moving to DPS Color Sensor,/vgr_node,"/diagnostics, /new_order, /provide_empty_loc, /provide_empty_loc_back, /rosout, /sld_blue_pub, /sld_red_pub, /sld_white_pub, /vgr_drop_off, /vgr_new_material, /vgr_pub"
227.7958698,VGR is Picking Up Material from in-Processing Unit,/vgr_node,"/diagnostics, /new_order, /provide_empty_loc, /provide_empty_loc_back, /rosout, /sld_blue_pub, /sld_red_pub, /sld_white_pub, /vgr_drop_off, /vgr_new_material, /vgr_pub"
202.71557,calling cobot for white pick up,/lego_node,"/diagnostics, /lego_blue_pub, /lego_red_pub, /lego_white_pub, /rosout"
202.71435,White order is ready for pick up,/listener,"/lego_blue_pub, /lego_red_pub, /lego_white_pub, /rosout, /vgr_drop_off"
155.4888,Order is ready for pick up,/listener,"/lego_blue_pub, /lego_red_pub, /lego_white_pub, /rosout, /vgr_drop_off"
155.4924901,Calling Cobot for picking,/vgr_node,"/diagnostics, /new_order, /provide_empty_loc, /provide_empty_loc_back, /rosout, /sld_blue_pub, /sld_red_pub, /sld_white_pub, /vgr_drop_off, /vgr_new_material, /vgr_pub"
155.2869,VGR is Set to Home,/vgr_node,"/diagnostics, /new_order, /provide_empty_loc, /provide_empty_loc_back, /rosout, /sld_blue_pub, /sld_red_pub, /sld_white_pub, /vgr_drop_off, /vgr_new_material, /vgr_pub"
147.6770198,VGR Dropped Material at DPS,/vgr_node,"/diagnostics, /new_order, /provide_empty_loc, /provide_empty_loc_back, /rosout, /sld_blue_pub, /sld_red_pub, /sld_white_pub, /vgr_drop_off, /vgr_new_material, /vgr_pub"
121.49735,VGR Received an Order at the WHITE Topic,/vgr_node,"/diagnostics, /new_order, /provide_empty_loc, /provide_empty_loc_back, /rosout, /sld_blue_pub, /sld_red_pub, /sld_white_pub, /vgr_drop_off, /vgr_new_material, /vgr_pub"
94.30472994,HBW Robot is Set to Home,/hbw_node,"/diagnostics, /hbw_pub, /new_order, /rosout, /vgr_new_material, /what_is_empty, /what_is_occupied"
77.35079002,Status updated successfully,/status_update,"/provide_empty_loc, /rosout, /what_is_empty, /what_is_occupied"
77.33134985,VGR is Set to Home,/vgr_node,"/diagnostics, /new_order, /provide_empty_loc, /provide_empty_loc_back, /rosout, /sld_blue_pub, /sld_red_pub, /sld_white_pub, /vgr_drop_off, /vgr_new_material, /vgr_pub"
77.32787991,HBW Empty Box is Back on the Shelf,/hbw_node,"/diagnostics, /hbw_pub, /new_order, /rosout, /vgr_new_material, /what_is_empty, /what_is_occupied"
61.95561004,VGR Dropped Material at MPS,/vgr_node,"/diagnostics, /new_order, /provide_empty_loc, /provide_empty_loc_back, /rosout, /sld_blue_pub, /sld_red_pub, /sld_white_pub, /vgr_drop_off, /vgr_new_material, /vgr_pub"
51.95826983,HBW Picked up the Empty Box from the Belt,/hbw_node,"/diagnostics, /hbw_pub, /new_order, /rosout, /vgr_new_material, /what_is_empty, /what_is_occupied"
51.41893005,Empty Box is Ready for HBW Pick Up,/hbw_node,"/diagnostics, /hbw_pub, /new_order, /rosout, /vgr_new_material, /what_is_empty, /what_is_occupied"
49.41807985,HBW Material is Picked by VGR,/hbw_node,"/diagnostics, /hbw_pub, /new_order, /rosout, /vgr_new_material, /what_is_empty, /what_is_occupied"
47.39665985,VGR is Moving to MPS,/vgr_node,"/diagnostics, /new_order, /provide_empty_loc, /provide_empty_loc_back, /rosout, /sld_blue_pub, /sld_red_pub, /sld_white_pub, /vgr_drop_off, /vgr_new_material, /vgr_pub"
47.38846993,VGR Picked Up Material from HBW,/vgr_node,"/diagnostics, /new_order, /provide_empty_loc, /provide_empty_loc_back, /rosout, /sld_blue_pub, /sld_red_pub, /sld_white_pub, /vgr_drop_off, /vgr_new_material, /vgr_pub"
