Time,SourceID,SourceAddress,SourceType,SourceLocation,DestinationServiceAddress,DestinationServiceType,DestinationServiceLocation,AccessedNodeAddress,AccessedNodeType,Operation,Value
0,main,/Order,Order,SCADA system,/hbw_node,Order,FischerTechnik,"/new_order, /rosout",String,notify-callback,Published Order
0.1447594429,main,/vgr_node,Order,SCADA system,/vgr_node,Order,FischerTechnik,"/diagnostics, /new_order, /provide_empty_loc, /provide_empty_loc_back, /rosout, /sld_blue_pub, /sld_red_pub, /sld_white_pub, /vgr_drop_off, /vgr_new_material, /vgr_pub",String,notify-callback,VGR got something
0.239543182,main,/vgr_node,Next Task,FischerTechnik,/vgr_node,Next Task,FischerTechnik,"/diagnostics, /new_order, /provide_empty_loc, /provide_empty_loc_back, /rosout, /sld_blue_pub, /sld_red_pub, /sld_white_pub, /vgr_drop_off, /vgr_new_material, /vgr_pub",String,notify-callback,VGR is Moving to HBW
0.3467988498,main,/hbw_node,Order,SCADA system,/hbw_node,Order,FischerTechnik,"/diagnostics, /hbw_pub, /new_order, /rosout, /vgr_new_material, /what_is_empty, /what_is_occupied",String,notify-callback,HBW Recieved an Order
11.15291861,hbw,/hbw_node,Reference Switch,FischerTechnik,/hbw_node,Next Task,FischerTechnik,"/diagnostics, /hbw_pub, /new_order, /rosout, /vgr_new_material, /what_is_empty, /what_is_occupied",String,notify-callback,HBW Picked Up Material
28.81449988,hbw,/hbw_node,Motion Sensor,FischerTechnik,/hbw_node,Next Task,FischerTechnik,"/diagnostics, /hbw_pub, /new_order, /rosout, /vgr_new_material, /what_is_empty, /what_is_occupied",String,notify-callback,HBW Placed Material on Belt
36.88689713,hbw,/hbw_node,Motion Sensor,FischerTechnik,/vgr_node,Next Task,FischerTechnik,"/diagnostics, /new_order, /provide_empty_loc, /provide_empty_loc_back, /rosout, /sld_blue_pub, /sld_red_pub, /sld_white_pub, /vgr_drop_off, /vgr_new_material, /vgr_pub",Boolean,notify-callback,VGR Picked Up Material from HBW
36.99650363,vgr,/vgr_node,Reference Switch,FischerTechnik,/vgr_node,Next Task,FischerTechnik,"/diagnostics, /new_order, /provide_empty_loc, /provide_empty_loc_back, /rosout, /sld_blue_pub, /sld_red_pub, /sld_white_pub, /vgr_drop_off, /vgr_new_material, /vgr_pub",String,notify-callback,VGR is Moving to MPS
38.95504521,hbw,/hbw_node,Next Task,FischerTechnik,/hbw_node,Next Task,FischerTechnik,"/diagnostics, /hbw_pub, /new_order, /rosout, /vgr_new_material, /what_is_empty, /what_is_occupied",String,notify-callback,HBW Material is Picked by VGR
41.14365255,hbw,/hbw_node,Motion Sensor,FischerTechnik,/hbw_node,Next Task,FischerTechnik,"/diagnostics, /hbw_pub, /new_order, /rosout, /vgr_new_material, /what_is_empty, /what_is_occupied",String,notify-callback,Empty Box is Ready for HBW Pick Up
41.690739,hbw,/hbw_node,Next Task,FischerTechnik,/hbw_node,Next Task,FischerTechnik,"/diagnostics, /hbw_pub, /new_order, /rosout, /vgr_new_material, /what_is_empty, /what_is_occupied",String,notify-callback,HBW Picked up the Empty Box from the Belt
51.61675449,vgr,/vgr_node,Next Task,FischerTechnik,/vgr_node,Motion Sensor,FischerTechnik,"/diagnostics, /new_order, /provide_empty_loc, /provide_empty_loc_back, /rosout, /sld_blue_pub, /sld_red_pub, /sld_white_pub, /vgr_drop_off, /vgr_new_material, /vgr_pub",String,notify-callback,VGR Dropped Material at MPS
59.01741185,vgr,/vgr_node,Next Task,FischerTechnik,/vgr_node,Reference Switch,FischerTechnik,"/diagnostics, /new_order, /provide_empty_loc, /provide_empty_loc_back, /rosout, /sld_blue_pub, /sld_red_pub, /sld_white_pub, /vgr_drop_off, /vgr_new_material, /vgr_pub",String,notify-callback,VGR is Set to Home
67.39382653,hbw,/hbw_node,Next Task,FischerTechnik,/status_update,Next Task,FischerTechnik,"/diagnostics, /hbw_pub, /new_order, /rosout, /vgr_new_material, /what_is_empty, /what_is_occupied",String,notify-callback,HBW Empty Box is Back on the Shelf
67.41870277,hbw,/hbw_node,Next Task,FischerTechnik,/status_update,Next Task,FischerTechnik,"/provide_empty_loc, /rosout, /what_is_empty, /what_is_occupied",String,notify-callback,Status Updated Successfully
70.93462919,hbw,/hbw_node,Reference Switch,FischerTechnik,/status_update,Next Task,FischerTechnik,"/diagnostics, /hbw_pub, /new_order, /rosout, /vgr_new_material, /what_is_empty, /what_is_occupied",String,notify-callback,HBW Robot is Set to Home
108.3538275,sld,/sld_node,Motion Sensor,FischerTechnik,/vgr_node,Next Task,FischerTechnik,"/diagnostics, /new_order, /provide_empty_loc, /provide_empty_loc_back, /rosout, /sld_blue_pub, /sld_red_pub, /sld_white_pub, /vgr_drop_off, /vgr_new_material, /vgr_pub",Boolean,notify-callback,VGR Received an Order at the BLUE Topic
