Run Time,msg,node,topics
0.0,Published Order,/Order,"/new_order,/rosout"
0.07,VGR got something,/vgr_node,"/diagnostics,/new_order,/provide_empty_loc,/provide_empty_loc_back,/rosout,/sld_blue_pub,/sld_red_pub,/sld_white_pub,/vgr_drop_off,/vgr_new_material,/vgr_pub"
0.07,VGR is Moving to HBW,/vgr_node,"/diagnostics,/new_order,/provide_empty_loc,/provide_empty_loc_back,/rosout,/sld_blue_pub,/sld_red_pub,/sld_white_pub,/vgr_drop_off,/vgr_new_material,/vgr_pub"
0.27,HBW Recieved an Order,/hbw_node,"/diagnostics,/hbw_pub,/new_order,/rosout,/vgr_new_material,/what_is_empty,/what_is_occupied"
1.27,HBW Picked Up Material,/hbw_node,"/diagnostics,/hbw_pub,/new_order,/rosout,/vgr_new_material,/what_is_empty,/what_is_occupied"
6.27,HBW Placed Material on Belt,/hbw_node,"/diagnostics,/hbw_pub,/new_order,/rosout,/vgr_new_material,/what_is_empty,/what_is_occupied"
9.281,VGR Picked Up Material from HBW,/hbw_node,"/diagnostics,/new_order,/provide_empty_loc,/provide_empty_loc_back,/rosout,/sld_blue_pub,/sld_red_pub,/sld_white_pub,/vgr_drop_off,/vgr_new_material,/vgr_pub"
9.381,VGR is Moving to MPS,/vgr_node,"/diagnostics,/new_order,/provide_empty_loc,/provide_empty_loc_back,/rosout,/sld_blue_pub,/sld_red_pub,/sld_white_pub,/vgr_drop_off,/vgr_new_material,/vgr_pub"
10.881,HBW Material is Picked by VGR,/hbw_node,"/diagnostics,/hbw_pub,/new_order,/rosout,/vgr_new_material,/what_is_empty,/what_is_occupied"
12.881,Empty Box is Ready for HBW Pick Up,/hbw_node,"/diagnostics,/hbw_pub,/new_order,/rosout,/vgr_new_material,/what_is_empty,/what_is_occupied"
12.881,HBW Picked up the Empty Box from the Belt,/hbw_node,"/diagnostics,/hbw_pub,/new_order,/rosout,/vgr_new_material,/what_is_empty,/what_is_occupied"
23.381,VGR Dropped Material at MPS,/vgr_node,"/diagnostics,/new_order,/provide_empty_loc,/provide_empty_loc_back,/rosout,/sld_blue_pub,/sld_red_pub,/sld_white_pub,/vgr_drop_off,/vgr_new_material,/vgr_pub"
38.881,VGR is Set to Home,/vgr_node,"/diagnostics,/new_order,/provide_empty_loc,/provide_empty_loc_back,/rosout,/sld_blue_pub,/sld_red_pub,/sld_white_pub,/vgr_drop_off,/vgr_new_material,/vgr_pub"
39.481,HBW Empty Box is Back on the Shelf,/hbw_node,"/diagnostics,/hbw_pub,/new_order,/rosout,/vgr_new_material,/what_is_empty,/what_is_occupied"
39.481,Status Updated Successfully,/hbw_node,"/provide_empty_loc,/rosout,/what_is_empty,/what_is_occupied"
